ward_code,Ward,Local Authority,Labour vote change 2014-18percent,crimes2016q1,crimes2017q1,crimes2018q1,crime_change_q1_2017-18percent,totalcrimes2016,totalcrimes2017,totalcrimes2018,crime_change_2016-17percent
E05009401,Queen's Gate,Kensington and Chelsea,1.1,,,,,,,,
E05000595,Forest,Waltham Forest,15.4,221.0,459.0,407.0,-11.328976034858387,1451.0,1726.0,841.0,18.952446588559614
E05000044,Burnt Oak,Barnet,3.0,491.0,473.0,510.0,7.822410147991543,2248.0,2116.0,1117.0,-5.871886120996441
E05011113,Rye Lane,Southwark,66.9,,,,,,,,
E05000093,Kenton,Brent,4.4,176.0,185.0,189.0,2.1621621621621623,724.0,740.0,378.0,2.209944751381215
E05011485,South Norwood,Croydon,15.9,,,,,,,,
E05000046,Colindale,Barnet,3.1,487.0,486.0,534.0,9.876543209876543,2214.0,2294.0,1217.0,3.6133694670280034
E05000520,Hampton,Richmond upon Thames,-1.7,92.0,164.0,191.0,16.463414634146343,661.0,758.0,367.0,14.674735249621785
E05000196,Cockfosters,Enfield,1.5,159.0,209.0,317.0,51.674641148325364,894.0,1077.0,656.0,20.469798657718123
E05009323,Canary Wharf,Tower Hamlets,-2.7,,,,,,,,
E05000286,Canons,Harrow,-3.5,141.0,262.0,224.0,-14.50381679389313,890.0,1028.0,471.0,15.505617977528091
E05000212,Upper Edmonton,Enfield,1.4,412.0,725.0,790.0,8.96551724137931,2504.0,3186.0,1645.0,27.23642172523962
E05000295,Kenton West,Harrow,4.2,101.0,152.0,150.0,-1.3157894736842104,547.0,685.0,306.0,25.22851919561243
E05000301,Roxbourne,Harrow,12.8,143.0,240.0,240.0,0.0,960.0,1003.0,448.0,4.479166666666667
E05000492,Stratford and New Town,Newham,-29.6,1053.0,1980.0,2129.0,7.525252525252525,6970.0,8595.0,4290.0,23.3142037302726
E05000373,Highbury West,Islington,-1.9,362.0,710.0,629.0,-11.408450704225352,2172.0,2747.0,1271.0,26.473296500920814
E05000418,Clapham Common,Lambeth,7.8,201.0,346.0,345.0,-0.2890173410404624,1361.0,1513.0,726.0,11.168258633357825
E05000617,Latchmere,Wandsworth,12.7,236.0,325.0,440.0,35.38461538461539,1548.0,1579.0,915.0,2.0025839793281652
E05000188,South Acton,Ealing,4.9,314.0,522.0,605.0,15.900383141762454,2258.0,2365.0,1215.0,4.738706820194863
E05000442,Downham,Lewisham,27.1,253.0,443.0,379.0,-14.446952595936793,1485.0,1712.0,834.0,15.286195286195287
E05009332,Shadwell,Tower Hamlets,0.3,,,,,,,,
E05000289,Harrow on the Hill,Harrow,16.9,130.0,225.0,225.0,0.0,942.0,1005.0,516.0,6.687898089171974
E05000171,Cleveland,Ealing,4.4,125.0,260.0,243.0,-6.538461538461539,921.0,1164.0,525.0,26.384364820846905
E05000195,Chase,Enfield,7.1,198.0,290.0,294.0,1.3793103448275863,1228.0,1245.0,649.0,1.3843648208469055
E05000325,Botwell,Hillingdon,7.4,344.0,652.0,613.0,-5.98159509202454,2119.0,2570.0,1275.0,21.283624351109015
E05000140,Kilburn,Camden,12.0,361.0,555.0,642.0,15.675675675675677,2246.0,2522.0,1309.0,12.288512911843277
E05011251,Seven Kings,Redbridge,78.8,,,,,,,,
E05000431,Streatham South,Lambeth,2.2,224.0,353.0,395.0,11.89801699716714,1285.0,1522.0,828.0,18.443579766536967
E05000194,Bush Hill Park,Enfield,7.8,110.0,188.0,219.0,16.48936170212766,698.0,915.0,469.0,31.088825214899714
E05000416,Bishop's,Lambeth,7.2,674.0,1022.0,1014.0,-0.7827788649706457,4091.0,4451.0,2140.0,8.799804448790027
E05000096,Northwick Park,Brent,10.7,237.0,223.0,282.0,26.45739910313901,1046.0,1032.0,543.0,-1.338432122370937
E05000444,Forest Hill,Lewisham,14.9,170.0,404.0,351.0,-13.118811881188119,1201.0,1351.0,691.0,12.489592006661116
E05000197,Edmonton Green,Enfield,-11.9,528.0,785.0,793.0,1.019108280254777,3129.0,3276.0,1743.0,4.697986577181208
E05000441,Crofton Park,Lewisham,12.6,159.0,264.0,297.0,12.5,995.0,1212.0,600.0,21.809045226130653
E05000328,Charville,Hillingdon,10.8,160.0,230.0,240.0,4.3478260869565215,931.0,908.0,474.0,-2.4704618689581093
E05000420,Coldharbour,Lambeth,-4.1,540.0,835.0,834.0,-0.11976047904191617,3501.0,3549.0,1758.0,1.371036846615253
E05000532,West Twickenham,Richmond upon Thames,5.5,89.0,214.0,179.0,-16.355140186915886,658.0,911.0,335.0,38.44984802431611
E05000439,Brockley,Lewisham,10.5,328.0,523.0,522.0,-0.19120458891013384,2015.0,2065.0,1074.0,2.481389578163772
E05000275,Noel Park,Haringey,8.6,628.0,841.0,983.0,16.884661117717002,3452.0,3795.0,1916.0,9.936268829663963
E05000378,St George's,Islington,-4.2,226.0,354.0,325.0,-8.192090395480225,1313.0,1501.0,642.0,14.31835491241432
E05011109,Old Kent Road,Southwark,65.7,,,,,,,,
E05000112,Clock House,Bromley,12.7,163.0,221.0,223.0,0.904977375565611,974.0,923.0,486.0,-5.236139630390143
E05000342,West Drayton,Hillingdon,21.9,219.0,449.0,414.0,-7.795100222717149,1503.0,1973.0,924.0,31.270791749833666
E05009326,Limehouse,Tower Hamlets,1.7,,,,,,,,
E05000623,Shaftesbury,Wandsworth,7.0,226.0,259.0,334.0,28.957528957528954,1286.0,1412.0,761.0,9.79782270606532
E05011110,Peckham,Southwark,76.5,,,,,,,,
E05011231,Slade Green and Northend,Bexley,50.6,,,,,,,,
E05000631,Bayswater,Westminster,15.5,194.0,298.0,332.0,11.409395973154362,1295.0,1332.0,657.0,2.857142857142857
E05000485,Green Street East,Newham,24.6,148.0,296.0,325.0,9.797297297297296,1116.0,1308.0,693.0,17.20430107526882
E05009387,Woodberry Down,Hackney,6.2,,,,,,,,
E05000519,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,-5.3,95.0,183.0,172.0,-6.0109289617486334,743.0,822.0,379.0,10.632570659488561
E05000111,Chislehurst,Bromley,3.4,141.0,279.0,332.0,18.996415770609318,988.0,1347.0,676.0,36.336032388663966
E05000466,Merton Park,Merton,0.3,136.0,222.0,220.0,-0.9009009009009009,756.0,920.0,428.0,21.693121693121693
E05000133,Frognal and Fitzjohns,Camden,3.3,207.0,262.0,259.0,-1.1450381679389312,1077.0,1197.0,545.0,11.142061281337048
E05000092,Kensal Green,Brent,8.1,436.0,446.0,477.0,6.950672645739911,2002.0,1910.0,1012.0,-4.595404595404595
E05009381,London Fields,Hackney,11.5,,,,,,,,
E05009321,Bromley North,Tower Hamlets,-6.5,,,,,,,,
E05000170,Acton Central,Ealing,7.9,273.0,446.0,376.0,-15.695067264573993,1686.0,1933.0,769.0,14.65005931198102
E05000277,St Ann's,Haringey,6.6,230.0,437.0,419.0,-4.118993135011442,1606.0,1838.0,981.0,14.44582814445828
E05000478,Canning Town South,Newham,-1.7,297.0,399.0,449.0,12.531328320802004,1768.0,2006.0,996.0,13.461538461538462
E05000517,East Sheen,Richmond upon Thames,-4.0,93.0,168.0,168.0,0.0,623.0,695.0,371.0,11.556982343499197
E05000041,Village,Barking and Dagenham,18.3,299.0,288.0,327.0,13.541666666666666,1093.0,1311.0,677.0,19.945105215004574
E05011245,Hainault,Redbridge,54.5,,,,,,,,
E05000465,Lower Morden,Merton,3.7,69.0,111.0,81.0,-27.027027027027028,391.0,520.0,186.0,32.992327365728904
E05000632,Bryanston and Dorset Square,Westminster,0.9,540.0,925.0,855.0,-7.567567567567568,3494.0,3889.0,1757.0,11.3050944476245
E05000304,Wealdstone,Harrow,8.2,103.0,221.0,193.0,-12.669683257918551,776.0,926.0,435.0,19.329896907216497
E05000379,St Mary's,Islington,-0.2,480.0,880.0,637.0,-27.613636363636363,2921.0,3233.0,1356.0,10.681273536460116
E05000376,Junction,Islington,5.4,338.0,562.0,648.0,15.302491103202847,2031.0,3027.0,1279.0,49.039881831610046
E05000336,Northwood Hills,Hillingdon,7.8,117.0,221.0,225.0,1.809954751131222,724.0,822.0,476.0,13.535911602209943
E05011097,Champion Hill,Southwark,62.6,,,,,,,,
E05011219,Bexleyheath,Bexley,26.3,,,,,,,,
E05000264,Town,Hammersmith and Fulham,17.7,206.0,362.0,411.0,13.535911602209943,1317.0,1541.0,813.0,17.0083523158694
E05000635,Harrow Road,Westminster,23.9,197.0,281.0,280.0,-0.3558718861209964,1347.0,1461.0,657.0,8.463251670378618
E05000321,South Hornchurch,Havering,4.0,233.0,309.0,305.0,-1.2944983818770228,1250.0,1357.0,687.0,8.559999999999999
E05011476,Purley and Woodcote,Croydon,18.7,,,,,,,,
E05011487,Waddon,Croydon,9.4,,,,,,,,
E05000267,Bounds Green,Haringey,8.8,235.0,416.0,392.0,-5.769230769230769,1476.0,1823.0,868.0,23.509485094850948
E05011117,Surrey Docks,Southwark,27.7,,,,,,,,
E05011218,Belvedere,Bexley,62.3,,,,,,,,
E05000137,Highgate,Camden,-3.4,159.0,268.0,268.0,0.0,950.0,1287.0,605.0,35.473684210526315
E05011477,Purley Oaks and Riddlesdown,Croydon,24.5,,,,,,,,
E05000556,Beddington South,Sutton,1.5,140.0,210.0,224.0,6.666666666666667,759.0,871.0,430.0,14.756258234519104
E05000329,Eastcote and East Ruislip,Hillingdon,1.4,124.0,188.0,198.0,5.319148936170213,710.0,835.0,395.0,17.6056338028169
E05009324,Island Gardens,Tower Hamlets,-2.4,,,,,,,,
E05011478,Sanderstead,Croydon,4.1,,,,,,,,
E05000422,Gipsy Hill,Lambeth,-20.4,215.0,371.0,373.0,0.5390835579514826,1440.0,1545.0,752.0,7.291666666666667
E05000438,Blackheath,Lewisham,3.0,311.0,488.0,462.0,-5.327868852459016,1703.0,1888.0,964.0,10.86318261890781
E05011233,West Heath,Bexley,30.9,,,,,,,,
E05000124,Petts Wood and Knoll,Bromley,1.6,139.0,198.0,196.0,-1.0101010101010102,759.0,832.0,396.0,9.617918313570488
E05000613,East Putney,Wandsworth,3.6,98.0,186.0,216.0,16.129032258064516,699.0,834.0,421.0,19.313304721030043
E05009320,Bow West,Tower Hamlets,14.5,,,,,,,,
E05000202,Highlands,Enfield,-1.2,117.0,154.0,228.0,48.05194805194805,681.0,763.0,433.0,12.041116005873716
E05011095,Borough and Bankside,Southwark,29.7,,,,,,,,
E05000344,Yeading,Hillingdon,15.3,208.0,389.0,432.0,11.053984575835475,1411.0,1581.0,895.0,12.048192771084338
E05000085,Alperton,Brent,8.6,307.0,313.0,344.0,9.904153354632587,1437.0,1442.0,741.0,0.3479471120389701
E05011464,Bensham Manor,Croydon,12.5,,,,,,,,
E05011224,East Wickham,Bexley,37.6,,,,,,,,
E05000227,Shooters Hill,Greenwich,13.0,156.0,274.0,257.0,-6.204379562043796,953.0,1093.0,533.0,14.690451206715634
E05000120,Kelsey and Eden Park,Bromley,8.6,220.0,350.0,420.0,20.0,1156.0,1519.0,845.0,31.40138408304498
E05000118,Farnborough and Crofton,Bromley,1.9,127.0,227.0,212.0,-6.607929515418502,790.0,969.0,516.0,22.658227848101266
E05000628,West Hill,Wandsworth,-5.3,148.0,227.0,216.0,-4.845814977973569,874.0,975.0,480.0,11.556064073226544
E05000259,Palace Riverside,Hammersmith and Fulham,5.1,105.0,193.0,155.0,-19.689119170984455,705.0,786.0,350.0,11.48936170212766
E05011096,Camberwell Green,Southwark,67.5,,,,,,,,
E05011239,Clayhall,Redbridge,54.8,,,,,,,,
E05000647,Warwick,Westminster,8.1,516.0,886.0,907.0,2.3702031602708806,3438.0,3685.0,1857.0,7.184409540430482
E05000036,Mayesbrook,Barking and Dagenham,32.9,250.0,252.0,237.0,-5.952380952380952,917.0,1105.0,525.0,20.50163576881134
E05000027,Alibon,Barking and Dagenham,22.7,250.0,256.0,269.0,5.078125,968.0,1102.0,555.0,13.842975206611571
E05000454,Whitefoot,Lewisham,19.7,196.0,304.0,321.0,5.592105263157895,1274.0,1398.0,689.0,9.733124018838305
E05000314,Heaton,Havering,1.9,187.0,312.0,286.0,-8.333333333333332,1170.0,1289.0,603.0,10.17094017094017
E05000282,West Green,Haringey,6.4,251.0,372.0,407.0,9.408602150537634,1657.0,1634.0,949.0,-1.388050694025347
E05011466,Coulsdon Town,Croydon,24.9,,,,,,,,
E05000116,Crystal Palace,Bromley,17.0,156.0,346.0,292.0,-15.606936416184972,1333.0,1407.0,643.0,5.55138784696174
E05000038,River,Barking and Dagenham,19.7,309.0,350.0,310.0,-11.428571428571429,1259.0,1618.0,640.0,28.51469420174742
E05000567,Sutton West,Sutton,8.7,88.0,174.0,137.0,-21.26436781609195,521.0,626.0,273.0,20.153550863723606
E05009368,Cazenove,Hackney,52.7,,,,,,,,
E05000299,Queensbury,Harrow,18.4,112.0,163.0,175.0,7.361963190184049,626.0,618.0,368.0,-1.2779552715654952
E05000311,Hacton,Havering,4.5,91.0,134.0,174.0,29.850746268656714,536.0,697.0,384.0,30.037313432835823
E05000479,Custom House,Newham,14.4,236.0,418.0,427.0,2.15311004784689,1594.0,1687.0,947.0,5.834378920953576
E05000256,Hammersmith Broadway,Hammersmith and Fulham,17.6,528.0,831.0,896.0,7.821901323706378,3010.0,3656.0,1904.0,21.461794019933556
E05000435,Tulse Hill,Lambeth,-1.9,208.0,369.0,386.0,4.607046070460704,1645.0,1751.0,820.0,6.443768996960486
E05000406,Coombe Hill,Kingston upon Thames,-1.4,91.0,160.0,148.0,-7.5,547.0,677.0,318.0,23.76599634369287
E05009398,Norland,Kensington and Chelsea,0.8,,,,,,,,
E05000251,Askew,Hammersmith and Fulham,16.7,270.0,335.0,314.0,-6.26865671641791,1535.0,1513.0,611.0,-1.4332247557003257
E05000087,Brondesbury Park,Brent,19.2,356.0,378.0,362.0,-4.232804232804233,1429.0,1632.0,741.0,14.205738278516444
E05000523,Heathfield,Richmond upon Thames,8.0,152.0,190.0,122.0,-35.78947368421053,744.0,760.0,319.0,2.1505376344086025
E05000642,Queen's Park,Westminster,10.7,133.0,232.0,257.0,10.775862068965516,1109.0,1152.0,600.0,3.87736699729486
E05000368,Caledonian,Islington,5.2,415.0,676.0,602.0,-10.946745562130179,2557.0,2922.0,1367.0,14.274540477121628
E05011111,Peckham Rye,Southwark,55.1,,,,,,,,
E05011098,Chaucer,Southwark,54.6,,,,,,,,
E05000608,William Morris,Waltham Forest,17.8,156.0,245.0,320.0,30.612244897959183,1105.0,1249.0,639.0,13.031674208144798
E05000121,Mottingham and Chislehurst North,Bromley,17.4,164.0,388.0,275.0,-29.12371134020619,1193.0,1282.0,593.0,7.460184409052808
E05000101,Sudbury,Brent,3.4,282.0,260.0,274.0,5.384615384615385,1235.0,1169.0,549.0,-5.344129554655871
E05000221,Glyndon,Greenwich,3.0,234.0,329.0,318.0,-3.343465045592705,1325.0,1491.0,719.0,12.528301886792454
E05000470,St Helier,Merton,3.5,131.0,213.0,207.0,-2.8169014084507045,755.0,855.0,415.0,13.245033112582782
E05000521,Hampton North,Richmond upon Thames,2.5,93.0,179.0,165.0,-7.82122905027933,774.0,810.0,369.0,4.651162790697675
E05000529,South Twickenham,Richmond upon Thames,-7.4,102.0,157.0,122.0,-22.29299363057325,605.0,706.0,279.0,16.694214876033058
E05000278,Seven Sisters,Haringey,7.3,246.0,412.0,403.0,-2.1844660194174756,1633.0,1907.0,909.0,16.77893447642376
E05011226,Falconwood and Welling,Bexley,27.3,,,,,,,,
E05000179,Hanger Hill,Ealing,1.2,166.0,289.0,285.0,-1.384083044982699,983.0,1137.0,600.0,15.666327568667345
E05009389,Brompton and Hans Town,Kensington and Chelsea,2.1,,,,,,,,
E05000287,Edgware,Harrow,7.5,174.0,317.0,229.0,-27.760252365930597,1053.0,1235.0,514.0,17.28395061728395
E05011488,West Thornton,Croydon,11.8,,,,,,,,
E05000487,Little Ilford,Newham,18.2,304.0,457.0,401.0,-12.25382932166302,1661.0,1706.0,825.0,2.7092113184828417
E05000353,Hanworth,Hounslow,10.9,188.0,304.0,318.0,4.605263157894736,1211.0,1261.0,617.0,4.128819157720892
E05000090,Fryent,Brent,10.8,259.0,329.0,292.0,-11.246200607902736,1174.0,1373.0,616.0,16.950596252129472
E05000228,Thamesmead Moorings,Greenwich,19.1,280.0,446.0,506.0,13.452914798206278,1821.0,2040.0,1003.0,12.026359143327841
E05000322,Squirrel's Heath,Havering,6.8,133.0,234.0,189.0,-19.230769230769234,869.0,904.0,397.0,4.027617951668585
E05000596,Grove Green,Waltham Forest,6.4,156.0,309.0,259.0,-16.181229773462782,1033.0,1124.0,554.0,8.809293320425944
E05000261,Ravenscourt Park,Hammersmith and Fulham,10.2,178.0,285.0,306.0,7.368421052631578,1238.0,1471.0,632.0,18.820678513731824
E05000458,Cricket Green,Merton,-2.3,229.0,337.0,312.0,-7.418397626112759,1313.0,1334.0,687.0,1.5993907083015995
E05009375,Haggerston,Hackney,11.5,,,,,,,,
E05000369,Canonbury,Islington,9.7,195.0,381.0,249.0,-34.645669291338585,1329.0,1343.0,552.0,1.0534236267870578
E05000276,Northumberland Park,Haringey,17.0,397.0,738.0,769.0,4.200542005420054,2700.0,3181.0,1572.0,17.814814814814813
E05011244,Goodmayes,Redbridge,77.7,,,,,,,,
E05011467,Crystal Palace and Upper Norwood,Croydon,48.3,,,,,,,,
E05000475,Beckton,Newham,-6.2,345.0,599.0,609.0,1.669449081803005,2400.0,2518.0,1288.0,4.916666666666666
E05000031,Eastbury,Barking and Dagenham,24.7,282.0,325.0,321.0,-1.2307692307692308,1190.0,1274.0,637.0,7.0588235294117645
E05000094,Kilburn,Brent,17.1,531.0,624.0,665.0,6.570512820512821,2431.0,2678.0,1337.0,10.16042780748663
E05009402,Redcliffe,Kensington and Chelsea,1.5,,,,,,,,
E05000365,Turnham Green,Hounslow,9.3,219.0,372.0,444.0,19.35483870967742,1474.0,1778.0,950.0,20.62415196743555
E05000201,Haselbury,Enfield,15.6,226.0,332.0,346.0,4.216867469879518,1354.0,1403.0,722.0,3.61890694239291
E05000348,Chiswick Homefields,Hounslow,-5.0,164.0,214.0,241.0,12.616822429906541,921.0,1059.0,536.0,14.983713355048861
E05009386,Victoria,Hackney,6.7,,,,,,,,
E05000490,Plaistow South,Newham,8.9,315.0,476.0,500.0,5.042016806722689,1805.0,2004.0,996.0,11.024930747922438
E05000428,St Leonard's,Lambeth,7.0,347.0,564.0,521.0,-7.624113475177305,2329.0,2416.0,1084.0,3.7355088020609704
E05000569,Wallington North,Sutton,5.0,100.0,160.0,191.0,19.375,580.0,670.0,404.0,15.517241379310345
E05000280,Tottenham Green,Haringey,15.3,549.0,886.0,815.0,-8.01354401805869,3525.0,3755.0,1842.0,6.524822695035461
E05000350,Cranford,Hounslow,11.0,213.0,367.0,380.0,3.5422343324250685,1425.0,1519.0,806.0,6.5964912280701755
E05000226,Plumstead,Greenwich,6.4,262.0,519.0,397.0,-23.50674373795761,1808.0,2076.0,947.0,14.823008849557523
E05000175,East Acton,Ealing,6.2,392.0,690.0,649.0,-5.942028985507246,2580.0,2919.0,1388.0,13.13953488372093
E05000125,Plaistow and Sundridge,Bromley,8.8,173.0,319.0,335.0,5.015673981191222,1119.0,1276.0,646.0,14.030384271671133
E05000254,Fulham Broadway,Hammersmith and Fulham,4.2,207.0,360.0,346.0,-3.888888888888889,1331.0,1493.0,747.0,12.17129977460556
E05000446,Ladywell,Lewisham,-1.3,172.0,229.0,319.0,39.30131004366812,1043.0,1112.0,651.0,6.615532118887824
E05000362,Isleworth,Hounslow,10.5,181.0,250.0,286.0,14.399999999999999,1092.0,1136.0,594.0,4.029304029304029
E05000482,East Ham South,Newham,16.5,190.0,318.0,328.0,3.1446540880503147,1264.0,1351.0,658.0,6.882911392405064
E05000114,Cray Valley East,Bromley,16.7,278.0,554.0,416.0,-24.90974729241877,2033.0,2200.0,919.0,8.21446138711264
E05000433,Thornton,Lambeth,10.4,119.0,235.0,208.0,-11.48936170212766,887.0,863.0,433.0,-2.705749718151071
E05000106,Bickley,Bromley,4.7,121.0,184.0,221.0,20.108695652173914,680.0,878.0,409.0,29.117647058823533
E05000335,Northwood,Hillingdon,4.1,115.0,186.0,196.0,5.376344086021505,658.0,744.0,374.0,13.069908814589665
E05000449,New Cross,Lewisham,16.7,448.0,769.0,674.0,-12.35370611183355,2676.0,3112.0,1419.0,16.292974588938712
E05011469,Kenley,Croydon,4.3,,,,,,,,
E05000351,Feltham North,Hounslow,5.0,168.0,321.0,299.0,-6.853582554517133,1109.0,1302.0,574.0,17.40306582506763
E05000208,Southgate,Enfield,5.1,181.0,303.0,367.0,21.122112211221122,1109.0,1429.0,792.0,28.85482416591524
E05000592,Chapel End,Waltham Forest,12.4,203.0,347.0,262.0,-24.495677233429394,1115.0,1280.0,624.0,14.798206278026907
E05000303,Stanmore Park,Harrow,0.8,145.0,191.0,204.0,6.806282722513089,686.0,808.0,411.0,17.784256559766764
E05000622,St Mary's Park,Wandsworth,12.6,226.0,292.0,361.0,23.63013698630137,1426.0,1400.0,711.0,-1.8232819074333801
E05000055,Hendon,Barnet,-2.4,431.0,435.0,486.0,11.724137931034482,1869.0,1734.0,930.0,-7.223113964686998
E05000302,Roxeth,Harrow,14.5,163.0,229.0,247.0,7.860262008733625,1110.0,981.0,503.0,-11.621621621621623
E05011106,North Bermondsey,Southwark,29.9,,,,,,,,
E05000297,Pinner,Harrow,1.1,106.0,168.0,172.0,2.380952380952381,630.0,690.0,388.0,9.523809523809524
E05009378,Hoxton West,Hackney,11.6,,,,,,,,
E05000340,Uxbridge North,Hillingdon,6.6,328.0,545.0,552.0,1.2844036697247707,1846.0,2276.0,1080.0,23.293607800650054
E05009397,Holland,Kensington and Chelsea,9.5,,,,,,,,
E05000089,Dudden Hill,Brent,12.0,422.0,474.0,515.0,8.649789029535865,2287.0,2272.0,1086.0,-0.6558810668998688
E05000489,Plaistow North,Newham,7.9,203.0,306.0,288.0,-5.88235294117647,1139.0,1244.0,631.0,9.218612818261633
E05000327,Cavendish,Hillingdon,3.9,123.0,197.0,153.0,-22.33502538071066,783.0,749.0,328.0,-4.342273307790549
E05000338,South Ruislip,Hillingdon,7.9,144.0,331.0,268.0,-19.033232628398792,1093.0,1237.0,585.0,13.174748398902103
E05000432,Streatham Wells,Lambeth,6.1,205.0,281.0,305.0,8.540925266903916,1290.0,1193.0,628.0,-7.519379844961241
E05000191,Southfield,Ealing,2.4,157.0,198.0,187.0,-5.555555555555555,974.0,1027.0,398.0,5.441478439425051
E05011236,Bridge,Redbridge,42.1,,,,,,,,
E05000530,Teddington,Richmond upon Thames,-1.6,144.0,219.0,228.0,4.10958904109589,832.0,911.0,436.0,9.495192307692307
E05000471,Trinity,Merton,-1.6,204.0,294.0,292.0,-0.6802721088435374,1251.0,1241.0,632.0,-0.7993605115907274
E05000054,Hale,Barnet,-2.5,305.0,270.0,322.0,19.25925925925926,1221.0,1251.0,622.0,2.457002457002457
E05000218,Eltham North,Greenwich,10.7,220.0,267.0,239.0,-10.486891385767791,1004.0,1145.0,486.0,14.043824701195218
E05000562,St Helier,Sutton,7.7,173.0,291.0,246.0,-15.463917525773196,970.0,1182.0,524.0,21.855670103092784
E05000371,Finsbury Park,Islington,6.4,518.0,949.0,1103.0,16.227608008429925,3372.0,4739.0,2276.0,40.53973902728351
E05000177,Greenford Broadway,Ealing,-4.7,299.0,477.0,474.0,-0.628930817610063,2072.0,2225.0,994.0,7.384169884169885
E05000086,Barnhill,Brent,11.2,345.0,401.0,348.0,-13.216957605985039,1649.0,1696.0,804.0,2.850212249848393
